!This	file	contains	a	nonuniform	He	and	DPA	implantation	profile.	It	does	not	need	to	match	with
!the	mesh	elements	of	mesh	file,	but	it	should	have	coordinates	(z-coordinates	only)	that	are		
!greater	than	or	equal	to	in	span	those	of	the	mesh	file.					
																
!Tell	the	computer	how	many	values	of	DPA	rate	and	He	implant	rate	to	read	in	
numImplantDataPoints																
100																
																
!Tell	the	computer	to	start	reading in values														
!z_coord(nm) 	dpa_rate 	he(at.%/s)
!Values generated from SRIM for He ion implantation in Fe thin films
start 		
1.00E+00 	2.83E-02 	3.88E-05
2.00E+00 	4.52E-02 	9.47E-05
3.00E+00 	5.45E-02 	1.24E-04
4.00E+00 	5.57E-02 	1.44E-04
5.00E+00 	5.56E-02 	1.73E-04
6.00E+00 	5.39E-02 	1.93E-04
7.00E+00 	5.28E-02 	2.18E-04
8.00E+00 	5.15E-02 	2.37E-04
9.00E+00 	4.95E-02 	2.40E-04
1.00E+01 	4.73E-02 	2.58E-04
1.10E+01 	4.57E-02 	2.66E-04
1.20E+01 	4.44E-02 	2.73E-04
1.30E+01 	4.29E-02 	2.81E-04
1.40E+01 	4.13E-02 	2.90E-04
1.50E+01 	3.98E-02 	3.11E-04
1.60E+01 	3.83E-02 	3.15E-04
1.70E+01 	3.67E-02 	3.32E-04
1.80E+01 	3.58E-02 	3.18E-04
1.90E+01 	3.48E-02 	3.22E-04
2.00E+01 	3.37E-02 	3.43E-04
2.10E+01 	3.26E-02 	3.45E-04
2.20E+01 	3.16E-02 	3.60E-04
2.30E+01 	3.05E-02 	3.57E-04
2.40E+01 	2.97E-02 	3.57E-04
2.50E+01 	2.85E-02 	3.58E-04
2.60E+01 	2.76E-02 	3.60E-04
2.70E+01 	2.71E-02 	3.47E-04
2.80E+01 	2.58E-02 	3.56E-04
2.90E+01 	2.53E-02 	3.41E-04
3.00E+01 	2.43E-02 	3.56E-04
3.10E+01 	2.37E-02 	3.47E-04
3.20E+01 	2.30E-02 	3.77E-04
3.30E+01 	2.22E-02 	3.54E-04
3.40E+01 	2.12E-02 	3.67E-04
3.50E+01 	2.04E-02 	3.47E-04
3.60E+01 	1.96E-02 	3.46E-04
3.70E+01 	1.91E-02 	3.35E-04
3.80E+01 	1.82E-02 	3.48E-04
3.90E+01 	1.74E-02 	3.38E-04
4.00E+01 	1.66E-02 	3.22E-04
4.10E+01 	1.60E-02 	3.14E-04
4.20E+01 	1.52E-02 	3.10E-04
4.30E+01 	1.44E-02 	3.13E-04
4.40E+01 	1.39E-02 	3.01E-04
4.50E+01 	1.33E-02 	2.88E-04
4.60E+01 	1.25E-02 	2.95E-04
4.70E+01 	1.19E-02 	2.77E-04
4.80E+01 	1.13E-02 	2.64E-04
4.90E+01 	1.07E-02 	2.49E-04
5.00E+01 	9.86E-03 	2.58E-04
5.10E+01 	9.15E-03 	2.47E-04
5.20E+01 	8.63E-03 	2.42E-04
5.30E+01 	8.10E-03 	2.35E-04
5.40E+01 	7.84E-03 	2.14E-04
5.50E+01 	7.28E-03 	2.05E-04
5.60E+01 	6.79E-03 	1.98E-04
5.70E+01 	6.50E-03 	1.94E-04
5.80E+01 	5.83E-03 	1.93E-04
5.90E+01 	5.49E-03 	1.85E-04
6.00E+01 	5.02E-03 	1.74E-04
6.10E+01 	4.62E-03 	1.61E-04
6.20E+01 	4.35E-03 	1.60E-04
6.30E+01 	4.01E-03 	1.51E-04
6.40E+01 	3.64E-03 	1.38E-04
6.50E+01 	3.26E-03 	1.27E-04
6.60E+01 	2.98E-03 	1.09E-04
6.70E+01 	2.79E-03 	1.11E-04
6.80E+01 	2.45E-03 	9.92E-05
6.90E+01 	2.22E-03 	9.69E-05
7.00E+01 	2.10E-03 	9.98E-05
7.10E+01 	1.79E-03 	8.13E-05
7.20E+01 	1.59E-03 	7.23E-05
7.30E+01 	1.46E-03 	7.20E-05
7.40E+01 	1.32E-03 	6.21E-05
7.50E+01 	1.19E-03 	5.41E-05
7.60E+01 	1.05E-03 	5.70E-05
7.70E+01 	9.24E-04 	4.56E-05
7.80E+01 	8.11E-04 	4.62E-05
7.90E+01 	7.13E-04 	3.57E-05
8.00E+01 	6.63E-04 	3.85E-05
8.10E+01 	5.66E-04 	3.23E-05
8.20E+01 	5.06E-04 	3.34E-05
8.30E+01 	4.16E-04 	2.30E-05
8.40E+01 	3.50E-04 	2.98E-05
8.50E+01 	2.85E-04 	1.93E-05
8.60E+01 	2.60E-04 	1.70E-05
8.70E+01 	2.21E-04 	1.64E-05
8.80E+01 	2.15E-04 	1.39E-05
8.90E+01 	1.75E-04 	1.25E-05
9.00E+01 	1.66E-04 	1.05E-05
9.10E+01 	1.58E-04 	1.28E-05
9.20E+01 	1.10E-04 	1.05E-05
9.30E+01 	8.39E-05 	5.67E-06
9.40E+01 	6.58E-05 	5.67E-06
9.50E+01 	6.75E-05 	4.53E-06
9.60E+01 	6.26E-05 	4.25E-06
9.70E+01 	4.39E-05 	3.68E-06
9.80E+01 	3.94E-05 	4.25E-06
9.90E+01 	3.54E-05 	1.70E-06
1.00E+02 	2.44E-05 	1.42E-06														
