!This	file	contains	a	nonuniform	DPA	implantation	profile.	It	does	not	need	to	match	with
!the	mesh	elements	of	mesh	file,	but	it	should	have	coordinates	(z-coordinates	only)	that	are
!greater	than	or	equal	to	in	span	those	of	the	mesh	file.

!Tell	the	computer	how	many	values	of	DPA	rate to	read	in
numImplantDataPoints
100

!Tell	the	computer	to	start	reading in values
!z_coord(nm) 	dpa_rate(/s)
!Values generated from SRIM for He ion implantation in Fe thin films
start
1.00E+00 	2.83E-02
2.00E+00 	4.52E-02
3.00E+00 	5.45E-02
4.00E+00 	5.57E-02
5.00E+00 	5.56E-02
6.00E+00 	5.39E-02
7.00E+00 	5.28E-02
8.00E+00 	5.15E-02
9.00E+00 	4.95E-02
1.00E+01 	4.73E-02
1.10E+01 	4.57E-02
1.20E+01 	4.44E-02
1.30E+01 	4.29E-02
1.40E+01 	4.13E-02
1.50E+01 	3.98E-02
1.60E+01 	3.83E-02
1.70E+01 	3.67E-02
1.80E+01 	3.58E-02
1.90E+01 	3.48E-02
2.00E+01 	3.37E-02
2.10E+01 	3.26E-02
2.20E+01 	3.16E-02
2.30E+01 	3.05E-02
2.40E+01 	2.97E-02
2.50E+01 	2.85E-02
2.60E+01 	2.76E-02
2.70E+01 	2.71E-02
2.80E+01 	2.58E-02
2.90E+01 	2.53E-02
3.00E+01 	2.43E-02
3.10E+01 	2.37E-02
3.20E+01 	2.30E-02
3.30E+01 	2.22E-02
3.40E+01 	2.12E-02
3.50E+01 	2.04E-02
3.60E+01 	1.96E-02
3.70E+01 	1.91E-02
3.80E+01 	1.82E-02
3.90E+01 	1.74E-02
4.00E+01 	1.66E-02
4.10E+01 	1.60E-02
4.20E+01 	1.52E-02
4.30E+01 	1.44E-02
4.40E+01 	1.39E-02
4.50E+01 	1.33E-02
4.60E+01 	1.25E-02
4.70E+01 	1.19E-02
4.80E+01 	1.13E-02
4.90E+01 	1.07E-02
5.00E+01 	9.86E-03
5.10E+01 	9.15E-03
5.20E+01 	8.63E-03
5.30E+01 	8.10E-03
5.40E+01 	7.84E-03
5.50E+01 	7.28E-03
5.60E+01 	6.79E-03
5.70E+01 	6.50E-03
5.80E+01 	5.83E-03
5.90E+01 	5.49E-03
6.00E+01 	5.02E-03
6.10E+01 	4.62E-03
6.20E+01 	4.35E-03
6.30E+01 	4.01E-03
6.40E+01 	3.64E-03
6.50E+01 	3.26E-03
6.60E+01 	2.98E-03
6.70E+01 	2.79E-03
6.80E+01 	2.45E-03
6.90E+01 	2.22E-03
7.00E+01 	2.10E-03
7.10E+01 	1.79E-03
7.20E+01 	1.59E-03
7.30E+01 	1.46E-03
7.40E+01 	1.32E-03
7.50E+01 	1.19E-03
7.60E+01 	1.05E-03
7.70E+01 	9.24E-04
7.80E+01 	8.11E-04
7.90E+01 	7.13E-04
8.00E+01 	6.63E-04
8.10E+01 	5.66E-04
8.20E+01 	5.06E-04
8.30E+01 	4.16E-04
8.40E+01 	3.50E-04
8.50E+01 	2.85E-04
8.60E+01 	2.60E-04
8.70E+01 	2.21E-04
8.80E+01 	2.15E-04
8.90E+01 	1.75E-04
9.00E+01 	1.66E-04
9.10E+01 	1.58E-04
9.20E+01 	1.10E-04
9.30E+01 	8.39E-05
9.40E+01 	6.58E-05
9.50E+01 	6.75E-05
9.60E+01 	6.26E-05
9.70E+01 	4.39E-05
9.80E+01 	3.94E-05
9.90E+01 	3.54E-05
1.00E+02 	2.44E-05
