600.0       !temperature (K) uncertain
10000       !PKA energy (eV)
15          !Average number of displaced atoms per cascade (used for dpa calculation)
9           !number of cascades

16      !number of defects
10      !number of displaced atoms
0	0	1	0
-30.63639965	19.1881978	-21.6705011 I1      !unit: angstrom (=0.1nm)
0	0	3	0
-3.938232517	15.21736758	6.14100135 I3
0	0	1	0
-28.1614012	4.9457013	9.94800055 I1
0	0	2	0
8.867350175	-37.45380043	-6.60375155 I2
0	0	1	0
28.21960315	-19.49430115	8.44249975 I1
0	0	1	0
32.6691042	19.27070205	-15.83400095 I1
0	0	1	0
16.68909315	12.0741994	28.45049915 I1
0	2	0	0
-1.1318983	-24.5662997	-6.5735029 V2
0	1	0	0
-19.1884016	1.986202	-7.4440016 V1
0	1	0	0
-6.342401	3.3752019	-5.9079984 V1
0	1	0	0
-4.8124022	-9.5257991	-1.618997 V1
0	1	0	0
-1.8343976	7.5662038	-4.6199965 V1
0	1	0	0
-2.0573973	22.1002004	-4.7249998 V1
0	1	0	0
-16.2834029	4.7871969	1.3759981 V1
0	1	0	0
0.9665972	-0.8877986	-7.5420012 V1
0	1	0	0
2.4146028	6.2721974	14.5250002 V1

26
18
0	0	1	0
-52.9350009	-53.5510995	-8.2090896 I1
0	0	1	0
-27.1589999	-30.67060255	-5.34309235 I1
0	0	3	0
-23.81233165	-19.50993132	34.20190972 I3
0	0	2	0
7.3267503	5.500898625	4.67565885 I2
0	0	1	0		
17.4284978	8.3484023	4.5119111 I1
0	0	2	0
0.790251275	-5.397601825	14.00716178 I2
0	0	1	0		
5.7855001	-31.91009685	21.96241155 I1
0	0	1	0		
31.7544942	2.6009009	21.8634087 I1
0	0	1	0		
16.11100055	44.0704024	-48.5845903 I1
0	0	1	0		
26.04049735	34.12240435	-38.53109015 I1
0	0	2	0
31.18674903	19.0703986	-24.68283973 I2
0	0	1	0		
27.3129964	29.915396	-22.62308915 I1
0	0	1	0		
1.4445005	21.35390305	-11.24558865 I1
0	1	0	0
-10.1220011	1.0213988	0.4424073 V1
0	1	0	0
-10.0380015	-13.2315996	3.276407 V1
0	2	0	0		
-17.150001	-3.24810195	3.3789078 V2
0	1	0	0
-8.5760035	-3.1215989	1.8724076 V1
0	1	0	0
-19.9950022	-20.4405992	7.4834076 V1
0	3	0	0
-13.73633527	-9.615266533	6.135408033 V3
0	2	0	0		
-9.82349725	4.1189025	7.56191025 V2
0	2	0	0		
-25.6550021	-17.4670999	20.55691305 V2
0	1	0	0
11.6170049	5.1613982	-12.6225914 V1
0	1	0	0
12.884995	9.6993926	-8.5655884 V1
0	1	0	0
31.6629949	31.066397	-47.0355895 V1
0	1	0	0
25.884995	25.2843994	-38.2665886 V1
0	1	0	0
7.2409978	18.4043944	3.2004105 V1

19
14
0	0	1	0		
-1.6580983	-17.9236999	-47.3887086 I1
0	0	2	0
-21.05784995	4.56979985	-24.9354596 I2
0	0	1	0		
-14.5460988	-10.69619895	-22.90720985 I1
0	0	5	0
-23.54409908	-8.67409891	9.5772895 I5
0	0	1	0		
6.97739975	2.36880345	7.5552917 I1
0	0	1	0		
20.03089715	6.6627984	11.5637908 I1
0	0	1	0		
