773.0       !temperature (K) uncertain
0       !PKA energy (eV)
0	!Average number of displaced atoms per cascade (used for dpa calculation)
1		    !number of cascades

24		!number of defects
24		!number of displaced atoms
1	0	0	0
0.6553421798	2.9838466387	-0.2058733894	Cu1
1	0	0	0
0.6553421798	2.9838466387	-0.2058733894	Cu1
1	0	0	0
0.6553421798	2.9838466387	-0.2058733894	Cu1
1	0	0	0
0.6553421798	2.9838466387	-0.2058733894	Cu1
1	0	0	0
0.6553421798	2.9838466387	-0.2058733894	Cu1
43	0	0	0
4.3434271798	-3.649420028	-3.9206733894	Cu43
61	0	0	0
-4.8871478202	4.001479972	4.9809266106	Cu61
66	0	0	0
-4.5517178202	-1.898420028	4.3200266106	Cu66
93	0	0	0
-3.3858378202	0.282779972	0.9505266106	Cu93
116	0	0	0
-3.3849778202	-0.030220028	1.2116266106	Cu116
134	0   0	0
-3.2453278202	3.607679972	2.5450266106	Cu134
153	0	0	0
-3.3861178202	4.418779972	4.5558266106	Cu153
99	0	0	0
-3.7001378202	4.154879972	4.5407266106	Cu99
168	0	0	0
-3.3687278202	6.457479972	6.5613266106	Cu168
182	0	0	0
-3.3701278202	6.759479972	6.2804266106	Cu182
195	0	0	0
-3.1436878202	-5.507520028	-5.5763733894	Cu195
214	0	0	0
-2.0277978202	-0.457320028	-3.5247733894	Cu214
254	0	0	0
-2.6899578202	-0.746620028	5.5872266106	Cu254
258	0	0	0
-2.3771178202	2.548179972	-2.1375733894	Cu258
270	1	0	0
-1.9590178202	3.432079972	0.6609266106	Cu270
283	0	0	0
-2.9499878202	4.086179972	1.8080266106	Cu283
327	0	0	0
-2.2243078202	6.449979972	6.6128266106	Cu327
393	0	0	0
-0.6204978202	-4.514820028	-2.0588733894	Cu393
436	0	0	0
-0.7762678202	-1.424720028	0.2270266106	Cu436



